variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,data_type
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,magic_words,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,participants,name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,sender_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,timestamp_ms,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,content,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_geoblocked_for_viewer,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_unsent_image_by_messenger_kid_parent,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,title,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,is_still_participant,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,thread_path,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,magic_words,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,participants,name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,sender_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,timestamp_ms,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,content,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_geoblocked_for_viewer,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_unsent_image_by_messenger_kid_parent,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,title,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,is_still_participant,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,thread_path,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,magic_words,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,participants,name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,sender_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,timestamp_ms,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,content,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_geoblocked_for_viewer,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_unsent_image_by_messenger_kid_parent,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,title,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,is_still_participant,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,thread_path,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,magic_words,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,participants,name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,sender_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,timestamp_ms,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,content,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_geoblocked_for_viewer,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_unsent_image_by_messenger_kid_parent,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,title,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,is_still_participant,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,thread_path,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,magic_words,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,participants,name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,sender_name,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,timestamp_ms,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,number
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,content,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,reactions,LIST,reaction,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,reactions,LIST,actor,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,reactions,LIST,timestamp,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,number
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,share,LIST,link,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_geoblocked_for_viewer,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
your_instagram_activity/messages/inbox/username/message_1.json,"{'participants': [{'name': 'string'}], 'messages': [{'sender_name': 'string', 'timestamp_ms': 'number', 'content': 'string', 'reactions': [{'reaction': 'string', 'actor': 'string', 'timestamp': 'number'}], 'share': {'link': 'string'}, 'is_geoblocked_for_viewer': 'boolean', 'is_unsent_image_by_messenger_kid_parent': 'boolean'}], 'title': 'string', 'is_still_participant': 'boolean', 'thread_path': 'string', 'magic_words': 'array'}",your_instagram_activity,messages,inbox,Missing,message_1.json,messages,is_unsent_image_by_messenger_kid_parent,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
